Module,Version,DeclaredLicense,LicenseFiles
github.com/Microsoft/go-winio,v0.6.2,MIT,github.com__Microsoft__go-winio.txt
github.com/StackExchange/wmi,v1.2.1,MIT,github.com__StackExchange__wmi.txt
github.com/beorn7/perks,v1.0.1,MIT,github.com__beorn7__perks.txt
github.com/bits-and-blooms/bitset,v1.20.0,BSD-3-Clause,github.com__bits-and-blooms__bitset.txt
github.com/cespare/xxhash/v2,v2.3.0,MIT,github.com__cespare__xxhash__v2.txt
github.com/consensys/gnark-crypto,v0.18.1,Apache-2.0,github.com__consensys__gnark-crypto.txt
github.com/crate-crypto/go-eth-kzg,v1.4.0,Apache-2.0,github.com__crate-crypto__go-eth-kzg.txt
github.com/deckarep/golang-set/v2,v2.6.0,MIT,github.com__deckarep__golang-set__v2.txt
github.com/decred/dcrd/dcrec/secp256k1/v4,v4.0.1,ISC,github.com__decred__dcrd__dcrec__secp256k1__v4.txt
github.com/dustin/go-humanize,v1.0.1,MIT,github.com__dustin__go-humanize.txt
github.com/ethereum/go-ethereum,v1.17.0,LGPL-3.0-or-later,github.com__ethereum__go-ethereum-COPYING.txt;github.com__ethereum__go-ethereum-COPYING.LESSER.txt
github.com/go-logr/logr,v1.4.3,Apache-2.0,github.com__go-logr__logr.txt
github.com/go-logr/stdr,v1.2.2,Apache-2.0,github.com__go-logr__stdr.txt
github.com/go-ole/go-ole,v1.3.0,MIT,github.com__go-ole__go-ole.txt
github.com/google/uuid,v1.6.0,BSD-3-Clause,github.com__google__uuid.txt
github.com/gorilla/websocket,v1.5.3,BSD-2-Clause,github.com__gorilla__websocket.txt
github.com/holiman/uint256,v1.3.2,BSD-3-Clause,github.com__holiman__uint256.txt
github.com/mattn/go-isatty,v0.0.20,MIT,github.com__mattn__go-isatty.txt
github.com/munnerz/goautoneg,v0.0.0-20191010083416-a7dc8b61c822,BSD-3-Clause,github.com__munnerz__goautoneg.txt
github.com/ncruces/go-strftime,v0.1.9,MIT,github.com__ncruces__go-strftime.txt
github.com/prometheus/client_golang,v1.23.2,Apache-2.0,github.com__prometheus__client_golang-LICENSE.txt;github.com__prometheus__client_golang-NOTICE.txt
github.com/prometheus/client_model,v0.6.2,Apache-2.0,github.com__prometheus__client_model-LICENSE.txt;github.com__prometheus__client_model-NOTICE.txt
github.com/prometheus/common,v0.66.1,Apache-2.0,github.com__prometheus__common-LICENSE.txt;github.com__prometheus__common-NOTICE.txt
github.com/remyoudompheng/bigfft,v0.0.0-20230129092748-24d4a6f8daec,BSD-3-Clause,github.com__remyoudompheng__bigfft.txt
github.com/shirou/gopsutil,v3.21.4-0.20210419000835-c7a38de76ee5+incompatible,BSD-3-Clause,github.com__shirou__gopsutil.txt
go.opentelemetry.io/auto/sdk,v1.2.1,Apache-2.0,go.opentelemetry.io__auto__sdk.txt
go.opentelemetry.io/otel,v1.42.0,Apache-2.0,go.opentelemetry.io__otel.txt
go.opentelemetry.io/otel/metric,v1.42.0,Apache-2.0,go.opentelemetry.io__otel__metric.txt
go.opentelemetry.io/otel/trace,v1.42.0,Apache-2.0,go.opentelemetry.io__otel__trace.txt
go.yaml.in/yaml/v2,v2.4.2,Apache-2.0 AND MIT,go.yaml.in__yaml__v2-LICENSE.txt;go.yaml.in__yaml__v2-LICENSE.libyaml.txt;go.yaml.in__yaml__v2-NOTICE.txt
golang.org/x/crypto,v0.55.0,BSD-3-Clause,golang.org__x__crypto.txt
golang.org/x/sync,v0.18.0,BSD-3-Clause,golang.org__x__sync.txt
golang.org/x/sys,v0.47.0,BSD-3-Clause,golang.org__x__sys.txt
google.golang.org/protobuf,v1.36.11,BSD-3-Clause,google.golang.org__protobuf.txt
gopkg.in/yaml.v3,v3.0.1,MIT,gopkg.in__yaml.v3-LICENSE.txt;gopkg.in__yaml.v3-NOTICE.txt
modernc.org/libc,v1.55.3,BSD-3-Clause and bundled notices,modernc.org__libc-LICENSE.txt;modernc.org__libc-LICENSE-GO.txt
modernc.org/mathutil,v1.6.0,BSD-3-Clause,modernc.org__mathutil.txt
modernc.org/memory,v1.8.0,BSD-3-Clause and bundled notices,modernc.org__memory-LICENSE.txt;modernc.org__memory-LICENSE-GO.txt;modernc.org__memory-LICENSE-MMAP-GO.txt
modernc.org/sqlite,v1.34.5,BSD-3-Clause,modernc.org__sqlite.txt
